"ID","Area","Scenario","Expected Result","Priority","Implementation Status"
"TIER-001","Tier","Amount is 0 or 99","No Tier","High","Implemented"
"TIER-002","Tier","Amount is 100 through 999","Bronze","High","Implemented"
"TIER-003","Tier","Amount is 1000 through 9999","Silver","High","Implemented"
"TIER-004","Tier","Amount is 10000 through 99999","Gold","High","Implemented"
"TIER-005","Tier","Amount is 100000 or more","Platinum","High","Implemented"
"TIER-006","Tier","Multiple holdings","Tier uses cumulative holding SIP amounts","High","Implemented"
"MULT-001","Multiplier","Zero holdings for frequency","Multiplier is x0","High","Implemented"
"MULT-002","Multiplier","One daily or monthly holding","Matching frequency multiplier is x1","High","Implemented"
"MULT-003","Multiplier","Two daily or monthly holdings","Matching frequency multiplier is x2","High","Implemented"
"MULT-004","Multiplier","Three or more daily or monthly holdings","Matching frequency multiplier is x3","High","Implemented"
"MULT-005","Multiplier","Daily and monthly holdings coexist","Each frequency uses its own count","High","Implemented"
"COIN-001","Blink Coins","SIP 100 at x1","Earned coins = 2","High","Implemented"
"COIN-002","Blink Coins","SIP 100 at x2","Earned coins = 4","High","Implemented"
"COIN-003","Blink Coins","SIP 100 at x3","Earned coins = 6","High","Implemented"
"COIN-004","Blink Coins","SIP 100 at x0","Earned coins = 0","High","Implemented"
"COIN-005","Blink Coins","Fractional 2% result","Earned coins are rounded down","Medium","Implemented"
"COIN-006","Coin usage","SIP 100, balance 100","Used 100; total 0","High","Implemented"
"COIN-007","Coin usage","SIP 1000, balance 100","Used 100; total 900","High","Implemented"
"COIN-008","Coin usage","SIP 100, balance 1000","Used 100; total 0","High","Implemented"
"COIN-009","Coin deduction","Confirm SIP","New balance = original + earned - used","High","Implemented"
"COIN-010","Coin deduction","Used exceeds balance","Balance never becomes negative","High","Implemented"
"COIN-011","Cancel flow","Cancel Order Summary","No coins are earned or deducted","High","Implemented"
"FLOW-001","Confirm flow","Confirm Order Summary","Active holding is created and coin usage is applied once","High","Implemented"
"FLOW-002","Duplicate confirm","Confirm pressed repeatedly","Same SIP must not reward or deduct twice","High","Not Implemented"
"FLOW-003","Missing amount","Amount is empty or zero","Earned, used, and total are zero","Medium","Implemented"
"FLOW-004","Redux refresh","Holdings or rewards change","Home, Rewards, Breakup, and Invoice refresh correctly","High","Implemented"
"DISPLAY-001","Invoice","Open confirmed SIP","Stored earned, used, and total remain consistent","High","Implemented"
"DISPLAY-002","Home","No holdings","Shows No Tier, zero invested amount, and current coin balance","Medium","Implemented"
"REPAY-001","Repayment","Repayment streak","Repayment multiplier remains x0","High","Implemented"
